id,type,closeMatch,mappingRelation,semanticRelation,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/calcite,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CA,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CA,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CA,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/PY,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/PY,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/PY,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KD|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KO|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KW,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KD|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KO|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KW,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KD|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KO|https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KW,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/DO,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/DO,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/DO,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/AN,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/AN,https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/AN,null,null,null,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/AN,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.AN,"Ader gevuld met anhydriet, de ongehydrateerde variant van het evaporitische mineraal gips.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,AN,"Ader gevuld met anhydriet, de ongehydrateerde variant van het evaporitische mineraal gips.",anhydriet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/BI,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BI,Ader gevuld met materiaal een met verhoogd gehalte organische stof.,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,BI,Ader gevuld met materiaal een met verhoogd gehalte organische stof.,kolig / bitumineus,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/BL,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BL,"Ader gevuld met zinkblende (sfaleriet, zinksulfide).",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,BL,"Ader gevuld met zinkblende (sfaleriet, zinksulfide).",blende,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/BR,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.BR,"Ader gevuld met breccie, bestaande uit hoekige steenfragmenten in een fijnere matrix.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,BR,"Ader gevuld met breccie, bestaande uit hoekige steenfragmenten in een fijnere matrix.",breccie,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CA,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/calcite,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/calcite,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/calcite,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CA,"Ader gevuld met calciet, kristallijn calciumcarbonaat.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,CA,"Ader gevuld met calciet, kristallijn calciumcarbonaat.",calciet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CD,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CD,"Ader gevuld met carbonaat, volledig dichtgegroeid.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,CD,"Ader gevuld met carbonaat, volledig dichtgegroeid.",dicht met carbonaat,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CH,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CH,Ader gevuld met chalcopyriet (koperijzersulfide).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,CH,Ader gevuld met chalcopyriet (koperijzersulfide).,chalcopyriet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/CO,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.CO,"Ader deels gevuld met carbonaat, met open holtes.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,CO,"Ader deels gevuld met carbonaat, met open holtes.",open met carbonaat,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/DO,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.DO,Ader gevuld met dolomiet (calciummagnesiumcarbonaat).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,DO,Ader gevuld met dolomiet (calciummagnesiumcarbonaat).,dolomiet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/GA,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GA,Ader gevuld met galeniet (loodsulfide).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,GA,Ader gevuld met galeniet (loodsulfide).,galeniet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/GE,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GE,Ader gevuld met meerdere bestanddelen.,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,GE,Ader gevuld met meerdere bestanddelen.,gemengd,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/GI,http://www.w3.org/2004/02/skos/core#Concept,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/gypsum,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/gypsum,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/gypsum,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.GI,Ader gevuld met gips (gehydrateerd calciumsulfaat).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,GI,Ader gevuld met gips (gehydrateerd calciumsulfaat).,gips,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/HA,http://www.w3.org/2004/02/skos/core#Concept,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/salt,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/salt,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/salt,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.HA,"Ader gevuld met haliet (steenzout, natriumchloride).",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,HA,"Ader gevuld met haliet (steenzout, natriumchloride).",haliet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/HT,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.HT,Ader gevuld met hatchettiet (mineraal koolwaterstof).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,HT,Ader gevuld met hatchettiet (mineraal koolwaterstof).,hatchettiet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KA,http://www.w3.org/2004/02/skos/core#Concept,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/kaolin,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/kaolin,https://inspire.ec.europa.eu/codelist/CommodityCodeValue/kaolin,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KA,"Ader gevuld met kaoliniet, een verweerd wit kleimineraal.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,KA,"Ader gevuld met kaoliniet, een verweerd wit kleimineraal.",kaoliniet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KD,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KD,"Ader gevuld met kwarts (kristallijn siliciumdioxide), volledig dichtgegroeid.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,KD,"Ader gevuld met kwarts (kristallijn siliciumdioxide), volledig dichtgegroeid.",dicht met kwarts,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KL,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KL,Ader gevuld met klei.,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,KL,Ader gevuld met klei.,klei (groen),https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KO,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KO,"Ader deels gevuld met kwarts (kristallijn siliciumdioxide), met open holtes.",https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,KO,"Ader deels gevuld met kwarts (kristallijn siliciumdioxide), met open holtes.",open met kwarts,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/KW,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.KW,Ader gevuld met kwarts (kristallijn siliciumdioxide).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,KW,Ader gevuld met kwarts (kristallijn siliciumdioxide).,kwarts,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/MA,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.MA,Ader gevuld met mangaanmineralen.,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,MA,Ader gevuld met mangaanmineralen.,mangaan,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/MI,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.MI,Ader gevuld met milleriet (nikkelsulfide).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,MI,Ader gevuld met milleriet (nikkelsulfide).,milleriet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/ON,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.ON,Ader gevuld met onbepaalde bestanddelen.,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,ON,Ader gevuld met onbepaalde bestanddelen.,onbepaald,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/adertype/PY,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,be.vlaanderen.bodemenondergrond.data.id.concept.adertype.PY,Ader gevuld met pyriet (ijzersulfide).,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,PY,Ader gevuld met pyriet (ijzersulfide).,pyriet,https://data.omgeving.vlaanderen.be/id/conceptscheme/adertype,null
